titulo,streams,daily,es_feature
Cruel Summer,"3,234,662,299","1,216,072",No
Blank Space,"2,340,185,074","1,087,312",No
 Don’t Wanna Live Forever (Fifty Shades Darker),"2,069,947,656","710,836",Si
Lover,"1,970,508,616","753,528",No
Anti-Hero,"1,964,522,610","478,330",No
cardigan,"1,901,532,288","917,334",No
Shake It Off,"1,812,960,970","656,476",No
august,"1,721,225,212","708,820",No
Style,"1,648,769,263","1,278,951",No
Don’t Blame Me,"1,552,439,344","560,027",No
Look What You Made Me Do,"1,407,087,320","295,522",No
Delicate,"1,285,226,146","449,316",No
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),"1,158,104,790","507,368",No
Wildest Dreams,"1,146,396,075","371,163",No
Love Story (Taylor’s Version),"1,139,107,136","542,231",No
You Need To Calm Down,"1,116,655,861","206,923",No
Fortnight (feat. Post Malone),"1,112,480,518","724,542",No
Love Story,"1,090,178,578","414,585",No
I Knew You Were Trouble.,"1,074,389,188","463,968",No
willow,"1,063,582,106","271,715",No
exile (feat. Bon Iver),"1,049,196,478","501,150",No
You Belong With Me (Taylor’s Version),"1,044,983,769","568,929",No
Karma,"997,089,650","261,390",No
Wildest Dreams (Taylor's Version),"994,548,564","371,083",No
Enchanted,"993,911,005","329,656",No
...Ready For It?,"993,241,588","344,768",No
The Man,"987,843,504","244,525",No
The Fate of Ophelia,"984,628,374","5,360,353",No
ME! (feat. Brendon Urie of Panic! At The Disco),"968,837,799","142,928",No
Getaway Car,"890,485,785","314,334",No
Lavender Haze,"875,001,746","174,324",No
"You're On Your Own, Kid","836,420,679","370,383",No
Midnight Rain,"835,643,324","234,525",No
Paper Rings,"817,821,584","239,938",No
champagne problems,"809,456,718","247,428",No
my tears ricochet,"808,573,804","432,234",No
You Belong With Me,"798,581,392","306,846",No
I Can Do It With a Broken Heart,"787,809,047","397,499",No
We Are Never Ever Getting Back Together,"787,305,017","185,142",No
the 1,"754,960,251","290,026",No
Gorgeous,"730,191,312","153,212",No
Bad Blood,"726,892,693","218,258",No
Bejeweled,"700,122,335","174,269",No
Daylight,"673,945,428","470,932",No
End Game,"613,614,661","172,420",No
illicit affairs,"599,109,067","248,018",No
Maroon,"598,372,841","205,037",No
Is It Over Now? (Taylor's Version) (From The Vault),"571,912,143","166,385",No
The Way I Loved You (Taylor’s Version),"569,431,522","235,822",No
I Did Something Bad,"567,923,166","181,963",No
mirrorball,"563,839,440","214,093",No
Call It What You Want,"563,724,976","306,074",No
this is me trying,"559,077,089","247,659",No
Miss Americana & The Heartbreak Prince,"545,765,360","216,076",No
The Archer,"539,140,557","200,174",No
Dress,"538,241,696","503,487",No
Guilty as Sin?,"536,438,695","450,354",No
Snow On The Beach (feat. Lana Del Rey),"514,442,605","111,819",No
Opalite,"512,348,815","2,149,218",No
invisible string,"510,032,492","203,462",No
Down Bad,"506,839,984","274,895",No
Vigilante Shit,"505,093,309","110,961",No
Afterglow,"497,975,720","165,535",No
Enchanted (Taylor's Version),"495,196,848","338,939",No
I Knew You Were Trouble (Taylor's Version),"492,619,394","112,650",No
Back To December,"490,376,021","166,592",No
right where you left me - bonus track,"484,514,710","216,512",No
All Of The Girls You Loved Before,"471,467,308","108,535",No
We Are Never Ever Getting Back Together (Taylor's Version),"469,950,967","138,490",No
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),"462,742,940","127,366",No
22,"456,451,462","101,405",No
Mastermind,"451,274,692","125,249",No
the last great american dynasty,"451,236,096","103,035",No
Our Song,"450,885,336","125,405",No
Fearless (Taylor’s Version),"448,591,703","165,249",No
betty,"447,567,796","101,762",No
Cornelia Street,"439,413,082","172,013",No
"""Slut!"" (Taylor's Version) (From The Vault)","433,166,315","207,322",No
Red (Taylor's Version),"428,096,479","190,994",No
tolerate it,"426,708,525","150,208",No
London Boy,"425,972,206","124,817",No
Now That We Don't Talk (Taylor's Version) (From The Vault),"422,271,057","146,598",No
Who’s Afraid of Little Old Me?,"418,536,122","215,282",No
"So Long, London","408,603,393","196,006",No
I Forgot That You Existed,"408,459,542","114,934",No
Style (Taylor's Version),"407,434,545","210,845",No
22 (Taylor's Version),"402,050,254","113,193",No
seven,"399,076,918","105,699",No
My Boy Only Breaks His Favorite Toys,"391,426,720","207,541",No
Labyrinth,"386,921,399","201,557",No
So High School,"380,903,528","307,156",No
You’re Losing Me (From The Vault),"372,765,583","186,118",No
All Too Well (Taylor's Version),"370,526,801","177,234",No
The Great War,"370,048,262","121,922",No
Death By A Thousand Cuts,"365,147,001","105,671",No
But Daddy I Love Him,"362,895,099","172,412",No
King Of My Heart,"362,445,587","122,065",No
Sweet Nothing,"361,561,292","119,261",No
Out Of The Woods,"360,744,040","94,159",No
This Love (Taylor’s Version),"360,428,708","165,992",No
False God,"359,871,164","239,308",No
Question...?,"357,984,483","73,982",No
"Would've, Could've, Should've","356,027,220","115,887",No
Blank Space (Taylor's Version),"355,520,161","155,203",No
gold rush,"354,426,947","79,333",No
loml,"345,596,918","308,568",No
"no body, no crime (feat. HAIM)","343,621,010","76,513",No
I Think He Knows,"341,398,489","79,157",No
‘tis the damn season,"336,433,586","72,564",No
I Can See You (Taylor’s Version) (From The Vault),"336,163,542","89,642",No
Dancing With Our Hands Tied,"334,230,819","120,377",No
Lover (Remix) [feat. Shawn Mendes],"328,565,332","49,956",No
The Smallest Man Who Ever Lived,"326,777,075","184,905",No
New Romantics,"323,898,769","81,275",No
The Tortured Poets Department,"320,779,545","156,611",No
Florida!!! (feat. Florence + The Machine),"317,632,084","170,065",No
marjorie,"309,907,312","127,601",No
Everything Has Changed,"309,875,062","72,882",No
evermore (feat. Bon Iver),"294,607,403","130,885",No
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),"293,039,557","102,892",No
Back To December (Taylor's Version),"293,029,064","125,293",No
Welcome To New York,"291,259,674","99,158",No
Red,"290,946,517","68,142",No
Elizabeth Taylor,"289,793,598","644,628",No
Christmas Tree Farm,"287,619,195","9,101",No
Snow On The Beach (feat. More Lana Del Rey),"284,631,686","137,206",No
ighway Don't Care,"282,132,745","66,378",Si
ivy,"281,958,566","78,032",No
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),"279,583,441","93,701",No
This Is Why We Can't Have Nice Things,"278,979,696","64,265",No
Hits Different,"278,057,458","119,783",No
Say Don't Go (Taylor's Version) (From The Vault),"277,161,822","114,992",No
Message In A Bottle (Taylor's Version) (From The Vault),"275,129,117","133,917",No
s. (feat. Taylor Swift),"275,095,456","208,601",Si
Mine (Taylor's Version),"270,630,623","99,677",No
All Too Well,"269,847,478","31,301",No
mad woman,"269,166,869","65,998",No
The Alchemy,"267,606,686","163,825",No
New Year’s Day,"267,458,933","96,337",No
peace,"265,920,028","80,283",No
Mean,"262,955,386","54,973",No
Father Figure,"262,918,849","626,476",No
Teardrops On My Guitar - Radio Single Remix,"260,536,667","52,181",No
The Prophecy,"255,774,034","200,220",No
long story short,"255,647,233","70,281",No
Safe & Sound - from The Hunger Games Soundtrack,"254,853,621","31,826",No
cowboy like me,"252,477,554","91,490",No
Picture To Burn,"249,967,783","59,221",No
Mine,"249,564,204","44,524",No
Bigger Than The Whole Sky,"246,172,301","84,113",No
Out Of The Woods (Taylor's Version),"244,303,221","239,213",No
Fresh Out The Slammer,"243,679,566","146,782",No
All You Had To Do Was Stay,"243,524,890","45,418",No
So It Goes...,"242,538,839","73,621",No
imgonnagetyouback,"242,527,448","168,794",No
Better Than Revenge,"241,566,025","105,581",No
happiness,"240,197,313","83,183",No
hoax,"240,165,895","67,302",No
Paris,"237,175,449","66,284",No
epiphany,"231,189,002","62,203",No
Wi$h Li$t,"229,834,500","621,246",No
coney island (feat. The National),"229,222,879","65,475",No
The Life of a Showgirl (feat. Sabrina Carpenter),"227,551,332","600,634",No
dorothea,"226,793,871","71,844",No
The Very First Night (Taylor's Version) (From The Vault),"224,925,448","60,680",No
he Joker And The Queen (feat. Taylor Swift),"224,739,952","45,878",Si
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),"224,580,847","140,484",No
Bad Blood,"223,118,031","63,230",No
Shake It Off (Taylor's Version),"220,342,410","93,669",No
New Romantics (Taylor's Version),"214,734,941","89,967",No
Long Live (Taylor's Version),"214,454,658","107,130",No
Clean,"214,137,113","34,231",No
How Did It End?,"209,433,290","126,695",No
Wood,"208,089,179","417,662",No
Sparks Fly,"207,070,950","45,032",No
the lakes - bonus track,"206,910,580","62,746",No
The Black Dog,"205,221,257","124,704",No
Actually Romantic,"204,482,551","441,424",No
CANCELLED!,"198,701,373","422,802",No
High Infidelity,"197,409,163","54,861",No
Better Man (Taylor's Version) (From The Vault),"196,562,460","101,980",No
How You Get The Girl,"191,753,476","36,504",No
Ruin The Friendship,"188,150,262","431,390",No
Eldest Daughter,"184,672,597","353,320",No
Sparks Fly (Taylor’s Version),"182,941,059","67,473",No
enegade,"181,338,037","134,791",Si
Welcome To New York (Taylor's Version),"181,318,283","66,892",No
I Can Fix Him (No Really I Can),"180,792,624","81,976",No
Better Than Revenge (Taylor's Version),"178,603,657","48,578",No
Soon You’ll Get Better (feat. The Chicks),"176,582,449","44,560",No
Dear Reader,"173,550,069","63,920",No
Clean (Taylor's Version),"172,218,550","88,187",No
Clara Bow,"170,567,576","78,984",No
wo Is Better Than One (feat. Taylor Swift),"170,545,157","46,219",Si
I Hate It Here,"168,237,004","106,899",No
I Wish You Would,"166,602,732","28,857",No
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),"165,757,468","30,016",No
The Story Of Us,"165,595,216","21,948",No
Wonderland,"164,592,976","24,881",No
Honey,"164,566,849","362,843",No
Babe (Taylor's Version) (From The Vault),"164,107,832","51,772",No
Peter,"163,904,194","120,022",No
Tim McGraw,"163,810,993","34,074",No
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),"160,643,266","65,268",No
It’s Nice To Have A Friend,"160,469,876","32,668",No
Speak Now,"160,450,212","27,404",No
State Of Grace (Taylor's Version),"159,639,658","44,567",No
Begin Again (Taylor's Version),"158,901,161","93,594",No
Chloe or Sam or Sophia or Marcus,"158,390,203","111,627",No
You Are In Love,"158,306,794","29,215",No
Suburban Legends (Taylor's Version) (From The Vault),"156,339,239","48,468",No
Glitch,"156,023,662","39,406",No
The Bolter,"155,797,379","104,070",No
Come Back...Be Here (Taylor's Version),"155,442,797","62,868",No
You Are In Love (Taylor's Version),"155,272,231","117,002",No
All You Had To Do Was Stay (Taylor's Version),"155,175,810","69,743",No
closure,"155,050,616","38,068",No
Should've Said No,"155,000,587","36,381",No
Dear John,"154,433,971","23,863",No
White Horse (Taylor’s Version),"149,577,580","73,963",No
Bad Blood (Taylor's Version),"149,039,464","65,233",No
Dear John (Taylor's Version),"147,494,986","44,900",No
it’s time to go - bonus track,"147,075,151","50,453",No
Fearless,"145,821,535","49,484",No
Forever & Always (Taylor’s Version),"145,715,110","38,726",No
I Know Places,"145,416,740","20,772",No
The Story Of Us (Taylor's Version),"143,799,644","54,232",No
Speak Now (Taylor's Version),"143,469,715","44,275",No
Begin Again,"143,381,586","26,013",No
Treacherous (Taylor's Version),"143,134,873","39,799",No
Crazier,"141,912,606","46,220",No
The Albatross,"140,485,696","71,495",No
Only The Young - Featured in Miss Americana,"139,025,879","18,503",No
Last Kiss,"138,273,249","31,043",No
Mean (Taylor's Version),"137,121,831","38,315",No
I Wish You Would (Taylor's Version),"134,600,344","55,192",No
Bad Blood (feat. Kendrick Lamar) (Taylor's Version),"134,505,722","40,439",No
Foolish One (Taylor’s Version) (From The Vault),"133,594,072","47,142",No
Sad Beautiful Tragic (Taylor's Version),"133,330,438","49,464",No
Last Kiss (Taylor's Version),"132,984,691","82,628",No
thanK you aIMee,"132,004,389","59,012",No
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),"131,672,632","22,255",No
Fifteen (Taylor’s Version),"131,109,028","33,051",No
Fifteen,"130,336,677","23,121",No
I Look in People's Windows,"127,262,342","71,753",No
Timeless (Taylor’s Version) (From The Vault),"126,037,351","50,345",No
White Horse,"124,257,377","25,021",No
Haunted (Taylor's Version),"123,760,787","50,612",No
I Almost Do (Taylor's Version),"123,515,891","45,197",No
abe,"121,885,525","20,731",Si
Forever Winter (Taylor's Version) (From The Vault),"120,893,907","31,244",No
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),"120,313,798","38,509",No
Cassandra,"120,007,315","57,776",No
This Love,"119,562,319","21,786",No
Wonderland (Taylor's Version),"119,256,645","54,886",No
How You Get The Girl (Taylor's Version),"119,242,474","54,187",No
Hey Stephen (Taylor’s Version),"117,532,787","32,544",No
Haunted,"117,354,238","24,484",No
I Know Places (Taylor's Version),"116,250,409","49,527",No
Holy Ground (Taylor's Version),"116,060,595","33,778",No
Long Live,"115,619,718","24,362",No
Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),"114,825,186","36,356",No
Karma (feat. Ice Spice),"112,993,504","25,575",No
Stay Stay Stay (Taylor's Version),"112,151,241","26,606",No
When Emma Falls in Love (Taylor’s Version) (From The Vault),"108,934,207","29,751",No
The Manuscript,"103,595,484","64,807",No
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),"99,417,408","21,898",No
The Lucky One (Taylor's Version),"99,348,597","25,781",No
Never Grow Up,"98,302,451","18,820",No
he Alcott (feat. Taylor Swift),"98,198,300","47,369",Si
You’re Not Sorry (Taylor’s Version),"96,814,481","30,109",No
The Other Side Of The Door (Taylor’s Version),"95,728,782","29,416",No
The Moment I Knew (Taylor's Version),"94,103,894","28,748",No
If This Was A Movie (Taylor’s Version),"93,840,138","39,462",No
Starlight (Taylor's Version),"92,839,908","27,262",No
Carolina - From The Motion Picture “Where The Crawdads Sing”,"92,695,379","26,782",No
Don’t You (Taylor’s Version) (From The Vault),"91,736,808","26,288",No
Robin,"91,405,579","52,046",No
Never Grow Up (Taylor's Version),"87,035,682","41,693",No
Breathe (feat. Colbie Caillat) (Taylor’s Version),"86,318,338","25,355",No
asoline (feat. Taylor Swift),"85,974,548","29,185",Si
oth of Us (feat. Taylor Swift),"85,827,579","18,268",Si
Untouchable (Taylor’s Version),"83,167,387","44,488",No
Cornelia Street - Live From Paris,"82,260,370","24,866",No
The Way I Loved You,"82,247,294","25,758",No
Safe & Sound (feat. Joy Williams and John Paul White) (Taylor’s Version),"81,317,090","28,360",No
Back To December - Acoustic,"81,190,208","7,601",No
September - Recorded at The Tracking Room Nashville,"80,994,754","11,507",No
Ours (Taylor’s Version),"80,581,303","27,931",No
Ours,"77,715,841","10,632",No
Girl At Home (Taylor's Version),"76,833,079","21,509",No
Jump Then Fall (Taylor’s Version),"75,290,343","23,240",No
We Were Happy (Taylor’s Version) (From The Vault),"74,725,445","15,426",No
Breathe,"74,514,746","11,447",No
Tell Me Why (Taylor’s Version),"73,763,302","18,327",No
The Last Time,"72,473,198","10,559",No
Today Was A Fairytale (Taylor’s Version),"71,543,526","21,734",No
All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,"71,526,112","39,363",No
State Of Grace (Acoustic Version) (Taylor's Version),"70,967,221","24,126",No
Bye Bye Baby (Taylor’s Version) (From The Vault),"70,063,889","14,626",No
The Best Day (Taylor’s Version),"69,917,226","23,656",No
Forever & Always (Piano Version) (Taylor’s Version),"67,968,987","20,027",No
State Of Grace,"67,476,322","11,835",No
I Almost Do,"66,881,577","9,139",No
I'm Only Me When I'm With You,"66,541,867","19,803",No
Innocent (Taylor's Version),"66,280,163","23,620",No
Stay Stay Stay,"62,503,878","8,276",No
Mary's Song (Oh My My My),"62,085,689","18,269",No
exile (feat. Bon Iver) - the long pond studio sessions,"61,170,155","17,764",No
Treacherous,"60,111,056","8,977",No
Forever & Always,"59,861,389","11,477",No
Holy Ground,"59,685,937","10,649",No
Change (Taylor’s Version),"57,896,538","15,521",No
Ronan (Taylor's Version),"57,298,666","16,849",No
Cold As You,"57,159,690","16,367",No
Innocent,"56,821,012","8,505",No
Superman (Taylor’s Version),"56,686,320","20,087",No
Mine - POP Mix,"56,427,959","6,692",No
the lakes - original version,"55,845,526","11,935",No
A Place in this World,"55,820,472","18,622",No
Hey Stephen,"55,097,429","10,759",No
Come In With The Rain (Taylor’s Version),"52,974,857","14,619",No
The Story Of Us,"52,116,492","11,683",No
Delicate - Seeb Remix,"51,845,057","13,514",No
Delicate - Recorded at The Tracking Room Nashville,"51,543,581","19,695",No
You're Not Sorry,"50,870,873","8,350",No
Eyes Open (Taylor's Version),"50,234,481","11,480",No
If This Was A Movie,"48,755,257","8,822",No
The Lucky One,"47,746,654","7,133",No
Superstar (Taylor’s Version),"47,686,198","13,643",No
Starlight,"47,573,433","7,482",No
cardigan - cabin in candlelight version,"46,768,281","8,788",No
Come Back...Be Here,"46,514,361","8,201",No
Stay Beautiful,"45,990,650","12,856",No
Teardrops on My Guitar - Pop Version,"45,805,091","16,580",No
The Best Day,"45,354,346","10,077",No
Invisible,"45,348,960","12,842",No
Death By A Thousand Cuts - Live From Paris,"45,047,293","9,689",No
Tied Together with a Smile,"44,399,603","12,995",No
Last Christmas,"43,762,712","4,034",No
Sad Beautiful Tragic,"43,478,964","7,258",No
Cruel Summer - LP Giobbi Remix,"43,354,083","23,528",No
willow - dancing witch version (Elvira remix),"43,026,373","4,803",No
The Outside,"40,894,313","12,238",No
Love Story (Taylor's Version) - Elvira Remix,"39,957,756","7,505",No
Anti-Hero - Kungs Remix,"39,870,011","17,227",No
Fortnight (feat. Post Malone) - BLOND:ISH Remix,"39,189,173","25,271",No
Anti-Hero - Acoustic Version,"37,614,833","10,540",No
Cruel Summer - Live from TS | The Eras Tour,"36,147,775","12,136",No
Tell Me Why,"35,117,855","6,753",No
Today Was A Fairytale - US Version,"34,982,208","8,712",No
Daylight - Live From Paris,"34,729,466","17,798",No
A Perfectly Good Heart,"34,274,286","10,399",No
The Moment I Knew,"34,196,599","4,455",No
cardigan - the long pond studio sessions,"33,630,087","21,039",No
Lavender Haze - Acoustic Version,"33,486,673","8,889",No
my tears ricochet - the long pond studio sessions,"30,698,410","14,512",No
Change,"30,314,320","5,936",No
Lover - First Dance Remix,"29,835,954","8,557",No
Forever & Always - Piano Version,"29,693,316","4,457",No
...Ready For It? - BloodPop® Remix,"29,535,652","6,932",No
Lavender Haze - Felix Jaehn Remix,"28,909,450","5,903",No
Jump Then Fall,"28,524,915","5,365",No
this is me trying - the long pond studio sessions,"28,221,525","14,739",No
Superman,"28,058,374","4,212",No
august - the long pond studio sessions,"28,057,833","9,279",No
Haunted - Acoustic Version,"27,811,132","5,294",No
Anti-Hero (feat. Bleachers),"26,574,995","8,258",No
Untouchable,"25,980,764","5,817",No
State Of Grace - Acoustic,"25,613,984","3,339",No
Girl At Home,"25,223,032","4,337",No
"Sweeter Than Fiction - From ""One Chance"" Soundtrack","25,199,820","9,727",No
enegade - Pop Version,"25,167,821","24,392",Si
Message In A Bottle (Fat Max G Remix) (Taylor’s Version),"24,386,621","5,836",No
the 1 - the long pond studio sessions,"23,993,902","8,036",No
The Man - Live From Paris,"23,754,587","3,807",No
mirrorball - the long pond studio sessions,"22,659,774","8,851",No
illicit affairs - the long pond studio sessions,"20,843,966","8,209",No
the lakes - the long pond studio sessions,"20,720,190","7,421",No
Anti-Hero - ILLENIUM Remix,"20,569,710","7,079",No
"Beautiful Ghosts - From The Motion Picture Soundtrack ""Cats""","20,209,920","3,689",No
Fortnight (feat. Post Malone) - Acoustic Version,"19,759,364","16,519",No
willow - lonely witch version,"19,514,003","5,981",No
irch,"19,247,037","10,900",Si
Red - Original Demo Recording,"19,050,067","2,645",No
Come In With The Rain,"18,989,965","3,796",No
Lavender Haze - Snakehips Remix,"18,426,022","7,931",No
You Need To Calm Down - Clean Bandit Remix,"18,296,146","2,913",No
the last great american dynasty - the long pond studio sessions,"18,149,948","6,143",No
Treacherous - Original Demo Recording,"17,877,709","2,506",No
The Other Side Of The Door,"17,704,703","5,301",No
seven - the long pond studio sessions,"17,661,911","5,805",No
The Fate of Ophelia - Loud Luxury Remix,"17,072,916","120,229",No
invisible string - the long pond studio sessions,"16,983,514","6,313",No
All Too Well (10 Minute Version) (The Short Film),"16,764,148","5,294",No
Santa Baby,"16,735,930","1,001",No
betty - the long pond studio sessions,"16,501,204","5,228",No
Wildest Dreams - R3hab Remix,"16,337,293","12,105",No
hoax - the long pond studio sessions,"16,110,533","5,764",No
willow - 90's trend remix,"15,670,026","2,142",No
SuperStar,"15,637,839","3,379",No
Christmas Tree Farm - Old Timey Version,"15,193,030",769,No
hould've Said No - The 3D Concert Experience,"15,172,540","3,016",Si
The Archer - Live From Paris,"14,995,677","5,610",No
Back To December/Apologize/You're Not Sorry - Live/2011/Medley,"14,566,509","3,464",No
peace - the long pond studio sessions,"14,517,874","5,254",No
Drops Of Jupiter - Live/2011,"14,465,292","3,524",No
Teardrops On My Guitar,"14,425,053","1,554",No
mad woman - the long pond studio sessions,"14,334,367","5,147",No
The Fate of Ophelia - Alone In My Tower Acoustic Version,"14,038,984","52,255",No
Lover - Live From Paris,"13,664,416","4,834",No
epiphany - the long pond studio sessions,"13,225,625","4,822",No
"Carolina - ""Where The Crawdads Sing"" - Video Edition","11,731,600","2,531",No
Christmases When You Were Mine,"11,464,488","1,474",No
Wi$h Li$t - Settled Down Acoustic Version,"11,379,294","62,979",No
Love Story - Digital Dog Remix,"11,325,254","2,174",No
betty - Live from the 2020 Academy of Country Music Awards,"11,238,844","2,254",No
The Fate of Ophelia - The Chainsmokers Remix,"10,830,013","86,799",No
willow - moonlit witch version,"10,567,380","2,400",No
Sparks Fly - Live/2011,"10,178,663","1,774",No
Bette Davis Eyes - Live/2011,"9,828,350","1,935",No
You Need To Calm Down - Live From Paris,"9,769,849","3,066",No
Christmas Must Be Something More,"9,717,479",944,No
ME! - Live From Paris,"9,547,598","3,010",No
Anti-Hero - Jayda G Remix,"9,471,762","1,899",No
Enchanted - Live/2011,"9,030,704","1,971",No
Delicate - Sawyr And Ryan Tedder Mix,"8,591,423","2,101",No
White Christmas,"8,555,813",728,No
Silent Night,"8,134,612","1,102",No
The Story Of Us - Live,"8,049,382","1,587",No
Mine - Live/2011,"7,864,806","1,344",No
I Want You Back - Live/2011,"7,851,869","1,430",No
Mean - Live/2011,"7,835,371","1,322",No
Long Live,"7,726,727","3,901",No
Better Than Revenge - Live/2011,"7,708,349","1,618",No
Dear John - Live/2011,"7,586,577","1,558",No
I Can Do It With a Broken Heart - Dombresky Remix,"7,581,840","5,461",No
Ronan,"7,571,085","1,293",No
Long Live - Live/2011,"7,413,704","1,622",No
Elizabeth Taylor - So Glamorous Cabaret Version,"7,388,684","26,563",No
Ours - Live/2011,"7,343,533","1,190",No
Haunted - Live/2011,"7,247,742","1,818",No
Last Kiss - Live/2011,"6,993,407","1,771",No
Speak Now - Live/2011,"6,913,264","1,312",No
ig Star (with Taylor Swift) - Live,"6,769,583","2,501",Si
Opalite - Life Is A Song Acoustic Version,"6,420,232","23,526",No
I Know Places - Voice Memo,"6,362,759",625,No
Ruin The Friendship - My Advice Version,"6,286,651","27,460",No
Our Song,"6,146,060",823,No
Blank Space - Voice Memo,"5,178,492",541,No
I Can Do It With a Broken Heart - Instrumental,"4,998,457","2,086",No
I Wish You Would - Voice Memo,"4,882,443",480,No
The Life of a Showgirl (feat. Sabrina Carpenter) - Dressing Room Rehearsal Version,"4,622,747","15,919",No
Love Story - Pop Mix,"4,608,134",581,No
Anti-Hero - Roosevelt Remix,"4,562,224","3,315",No
Lavender Haze - Tensnake Remix,"4,495,508","1,761",No
"Macavity - From The Motion Picture Soundtrack ""Cats""","4,283,732","1,024",No
Eldest Daughter - Now You’re Home Acoustic Version,"3,841,085","17,203",No
Lavender Haze - Jungle Remix,"3,036,405","1,100",No
Christmas Tree Farm - Recorded Live at the 2019 iHeartRadio Jingle Ball,"2,911,280",309,No
Love Story - Live From Clear Channel Stripped 2008,"2,792,301","1,218",No
Beautiful Eyes - Live From Clear Channel Stripped 2008,"2,501,804",985,No
You're Not Sorry - CSI Remix,"2,497,614",468,No
Fortnight (feat. Post Malone) - Cults Remix,"2,084,017",596,No
Fearless - Live From Clear Channel Stripped 2008,"1,709,790",841,No
Wildest Dreams (Arr. Lawson for Harp),"1,629,002","1,798",No
The Last Time - Karaoke Version,"1,610,133","3,303",No
The Fate of Ophelia - Track by Track,"1,559,394","2,378",No
Love Story - J Stax Radio Mix,"1,399,907",74,No
Elizabeth Taylor - Track by Track,"1,381,478","2,108",No
Opalite - Track by Track,"1,278,609","2,085",No
Father Figure - Track by Track,"1,219,967","1,945",No
Cruel Summer - LP Giobbi Remix - Extended Version,"1,171,033","1,283",No
Eldest Daughter - Track by Track,"1,134,827","1,883",No
Untouchable - Live From Clear Channel Stripped 2008,"1,099,549",634,No
Ruin The Friendship - Track by Track,"1,043,919","1,824",No
Teardrops On My Guitar - Live From Clear Channel Stripped 2008,"1,033,193",379,No
Actually Romantic - Track by Track,"1,031,330","1,719",No
Should've Said No - Live From Clear Channel Stripped 2008,"1,029,340",408,No
Picture To Burn - Live From Clear Channel Stripped 2008,"1,005,277",408,No
Wi$h Li$t - Track by Track,"990,416","1,714",No
CANCELLED! - Track by Track,"962,175","1,631",No
...Ready For It? - Karaoke Version,"903,642",478,No
The Life of a Showgirl - Track by Track,"851,290","1,549",No
Honey - Track by Track,"844,720","1,547",No
Style - Karaoke Version,"839,763",806,No
Don't Blame Me - Karaoke Version,"837,062",339,No
Blank Space - Karaoke Version,"775,311",282,No
Look What You Made Me Do - Karaoke Version,"755,701",313,No
Change - Live From Clear Channel Stripped 2008,"729,250",311,No
Delicate - Karaoke Version,"627,141",334,No
Love Story - Instrumental with BGV,"626,433",174,No
Shake It Off - Karaoke Version,"608,559",268,No
Hey Stephen - Commentary,"563,511",121,No
All Too Well - Commentary,"525,634",62,No
Call It What You Want - Karaoke Version,"523,490",630,No
Getaway Car - Karaoke Version,"514,276",247,No
I Did Something Bad - Karaoke Version,"511,663",249,No
…Ready For It? - Commentary,"496,245",73,No
Wildest Dreams - Karaoke Version,"493,813",384,No
